,Values of area
46056,214824
46057,941579
46058,993063
46059,987968
46060,456645
46061,246572
46062,443345
46063,884157
46064,186777
46065,443985
46066,207381
46067,492044
46068,504501
46069,999777
46070,350002
46071,952102
46072,308075
46073,840404
46074,517869
46075,681423
46076,858451
46077,937904
46078,33285
46079,51858
46080,504960
46081,165756
46082,735258
46083,684711
46084,511823
46085,220613
46086,952781
46087,378336
46088,142139
46089,620652
46090,58009
46091,54297
46092,822991
46093,36352
46094,533127
46095,661488
46096,658248
46097,564123
46098,871683
46099,236605
46100,325594
46101,926943
46102,118211
46103,466226
46104,482177
46105,66379
46106,310863
46107,231534
46108,631099
46109,143138
46110,349904
46111,301149
46112,610728
46113,463284
46114,592195
46115,54572
46116,701349
46117,136271
46118,88146
46119,881958
46120,192796
46121,130555
46122,920405
46123,77105
46124,664559
46125,825071
46126,246089
46127,795808
46128,643517
46129,377805
46130,923465
46131,926189
46132,145097
46133,192544
46134,120360
46135,786639
46136,78609
46137,189912
46138,866919
46139,75355
46140,192955
46141,809519
46142,368496
46143,960221
46144,536321
46145,803402
46146,834661
46147,832589
46148,513771
46149,485317
46150,814377
46151,146140
46152,820734
46153,748042
46154,462600
46155,522643
46156,204255
46157,323055
46158,257380
46159,501308
46160,542535
46161,852119
46162,140344
46163,588320
46164,592864
46165,225540
46166,973443
46167,56981
46168,1156
46169,195298
46170,679172
46171,865574
46172,841094
46173,146677
46174,445085
46175,620458
46176,981632
46177,448192
46178,922702
46179,900984
46180,757354
46181,397145
46182,826430
46183,408860
46184,603304
46185,591887
46186,863466
46187,772918
46188,145174
46189,387521
46190,660467
46191,335691
46192,84076
46193,401531
46194,191206
46195,672844
46196,477330
46197,342551
46198,365150
46199,889326
46200,701672
46201,954945
46202,821611
46203,930715
46204,515721
46205,403670
46206,265615
46207,780869
46208,342687
46209,723645
46210,638208
46211,389506
46212,944310
46213,160052
46214,827072
46215,599148
46216,633225
46217,27327
46218,15505
46219,156635
46220,359987
46221,608216
46222,3815
46223,726875
46224,669359
46225,966881
46226,832204
46227,697334
46228,384573
46229,794371
46230,148618
46231,377474
46232,463858
46233,939823
46234,960774
46235,139482
46236,723860
46237,985190
46238,425724
46239,315999
46240,82312
46241,634430
46242,613190
46243,302085
46244,759583
46245,261666
46246,409411
46247,33932
46248,920705
46249,828141
46250,725876
46251,547295
46252,349980
46253,253200
46254,744506
46255,882012
46256,260800
46257,823687
46258,64876
46259,447717
46260,641167
46261,28382
46262,378660
46263,279333
46264,886137
46265,730540
46266,449086
46267,709776
46268,854081
46269,652581
46270,521568
46271,579703
46272,982113
46273,29085
46274,721293
46275,46062
46276,393861
46277,43823
46278,719418
46279,242588
46280,642444
46281,546742
46282,335287
46283,196109
46284,112936
46285,494635
46286,560691
46287,425093
46288,736289
46289,678500
46290,903463
46291,602268
46292,352746
46293,633768
46294,586813
46295,76949
46296,128862
46297,299415
46298,87689
46299,704222
46300,487126
46301,225706
46302,137925
46303,498958
46304,536987
46305,322097
46306,868721
46307,806433
46308,121697
46309,897133
46310,417034
46311,208978
46312,494642
46313,319076
46314,936348
46315,969464
46316,998188
46317,687853
46318,148681
46319,201632
46320,672111
46321,7475
46322,423509
46323,601048
46324,567479
46325,504964
46326,576549
46327,570378
46328,672649
46329,993546
46330,366796
46331,74827
46332,680841
46333,540569
46334,417533
46335,488723
46336,827289
46337,910128
46338,724829
46339,770706
46340,182527
46341,208542
46342,507811
46343,263156
46344,25899
46345,552596
46346,797081
46347,696806
46348,481862
46349,337606
46350,287221
46351,949335
46352,693571
46353,501087
46354,849417
46355,723347
46356,587958
46357,545089
46358,64026
46359,395739
46360,615554
46361,433433
46362,473212
46363,659512
46364,341398
46365,902170
46366,70615
46367,312765
46368,917728
46369,74390
46370,396535
46371,416532
46372,460696
46373,424057
46374,392191
46375,872209
46376,561724
46377,511718
46378,654272
46379,118856
46380,433404
46381,663294
46382,970501
46383,91124
46384,287165
46385,977451
46386,603557
46387,776232
46388,582172
46389,170077
46390,764621
46391,553511
46392,331538
46393,181278
46394,34440
46395,242090
46396,181267
46397,139057
46398,958235
46399,141835
46400,190420
46401,242654
46402,680918
46403,309014
46404,358754
46405,852265
46406,596443
46407,486870
46408,628168
46409,924403
46410,925711
46411,345012
46412,102639
46413,37179
46414,978838
46415,3677
46416,11263
46417,107385
46418,723484
46419,559531
46420,864037
46421,170240
46422,550813
46423,159688
46424,384478
46425,668355
46426,896583
46427,542273
46428,901283
46429,824862
46430,806532
46431,490448
46432,389264
46433,61420
46434,563069
46435,773629
46436,971357
46437,957736
46438,129740
46439,384760
46440,779240
46441,431748
46442,173278
46443,521874
46444,923994
46445,147685
46446,787346
46447,940492
46448,910329
46449,461110
46450,720981
46451,333933
46452,627673
46453,238517
46454,448915
46455,598031
46456,70323
46457,835120
46458,66750
46459,797318
46460,406204
46461,485671
46462,183548
46463,822494
46464,932392
46465,790201
46466,381434
46467,880079
46468,794518
46469,34083
46470,757845
46471,712532
46472,662060
46473,213053
46474,577246
46475,210576
46476,889698
46477,944222
46478,388189
46479,979732
46480,290295
46481,783686
46482,752278
46483,342329
46484,155100
46485,585123
46486,466190
46487,125965
46488,960892
46489,669818
46490,323143
46491,128169
46492,494391
46493,943727
46494,1831
46495,438694
46496,816033
46497,470957
46498,628380
46499,119797
46500,576555
46501,220864
46502,472425
46503,175625
46504,795197
46505,379123
46506,115203
46507,844850
46508,209729
46509,972443
46510,879432
46511,480538
46512,809088
46513,836131
46514,285274
46515,736741
46516,3438
46517,527392
46518,706761
46519,356385
46520,832530
46521,108011
46522,183092
46523,791608
46524,787264
46525,891264
46526,954950
46527,147660
46528,288445
46529,33948
46530,156754
46531,622294
46532,998498
46533,342702
46534,571310
46535,49493
46536,311120
46537,270747
46538,219542
46539,884598
46540,919696
46541,421289
46542,115614
46543,435822
46544,476185
46545,158980
46546,590860
46547,171733
46548,887496
46549,309560
46550,700159
46551,675540
46552,587849
46553,343816
46554,353988
46555,971554
46556,821310
46557,620888
46558,939349
46559,293102
46560,190348
46561,288061
46562,878508
46563,773868
46564,121532
46565,653014
46566,514847
46567,663372
46568,781163
46569,141107
46570,901307
46571,411900
46572,712601
46573,669284
46574,668428
46575,348542
46576,245805
46577,742859
46578,563662
46579,190757
46580,602356
46581,238690
46582,809073
46583,211369
46584,733245
46585,122947
46586,622876
46587,72228
46588,489935
46589,443612
46590,890504
46591,537646
46592,35536
46593,989179
46594,376789
46595,369711
46596,327485
46597,126788
46598,790720
46599,255341
46600,28402
46601,264037
46602,967654
46603,631459
46604,937934
46605,591738
46606,107293
46607,970146
46608,602927
46609,534172
46610,819052
46611,406397
46612,543021
46613,614618
46614,801532
46615,885871
46616,789496
46617,140459
46618,276263
46619,591977
46620,2687
46621,361469
46622,148927
46623,959106
46624,950296
46625,157872
46626,365974
46627,739958
46628,92692
46629,631926
46630,700803
46631,27065
46632,98323
46633,870452
46634,50182
46635,633142
46636,509725
46637,880619
46638,622014
46639,629180
46640,218849
46641,560973
46642,740498
46643,117571
46644,824291
46645,418818
46646,106328
46647,310153
46648,153484
46649,952312
46650,189881
46651,347889
46652,548730
46653,234303
46654,792390
46655,638079
46656,39828
46657,742846
46658,689788
46659,650746
46660,115442
46661,878681
46662,11669
46663,349895
46664,58892
46665,957498
46666,687664
46667,277796
46668,57108
46669,396711
46670,873559
46671,516964
46672,333376
46673,15386
46674,817677
46675,851619
46676,386039
46677,226998
46678,638251
46679,359351
46680,693019
46681,1029
46682,727374
46683,551374
46684,518192
46685,70262
46686,73901
46687,373442
46688,697316
46689,945725
46690,446493
46691,839486
46692,498119
46693,909715
46694,463697
46695,938405
46696,790976
46697,701176
46698,34369
46699,80690
46700,98791
46701,420682
46702,442879
46703,819143
46704,475361
46705,583451
46706,990012
46707,192376
46708,817702
46709,614704
46710,767471
46711,742384
46712,511993
46713,367214
46714,169262
46715,731987
46716,859036
46717,242221
46718,39109
46719,326724
46720,520676
46721,193178
46722,147188
46723,487636
46724,747478
46725,637189
46726,290944
46727,114146
46728,324501
46729,979004
46730,195947
46731,326234
46732,576813
46733,643891
46734,457538
46735,28186
46736,220859
46737,968814
46738,379004
46739,720454
46740,91148
46741,490456
46742,365086
46743,23944
46744,100910
46745,309272
46746,848293
46747,5766
46748,903391
46749,340335
46750,989012
46751,829792
46752,738473
46753,386391
46754,146714
46755,500793
46756,928061
46757,412280
46758,26780
46759,543702
46760,895164
46761,94005
46762,718193
46763,94043
46764,421079
46765,596416
46766,892055
46767,443750
46768,376862
46769,482361
46770,182436
46771,807933
46772,264818
46773,7168
46774,573142
46775,975933
46776,245693
46777,559670
46778,516528
46779,949941
46780,513037
46781,997232
46782,483861
46783,30283
46784,981848
46785,904072
46786,298624
46787,700562
46788,220938
46789,932173
46790,58152
46791,476845
46792,921561
46793,521359
46794,124153
46795,226898
46796,325309
46797,592098
46798,974732
46799,586613
46800,957800
46801,952490
46802,719474
46803,789885
46804,612902
46805,57073
46806,217927
46807,278483
46808,867136
46809,888210
46810,162551
46811,159807
46812,730229
46813,464156
46814,717368
46815,496082
46816,175245
46817,226705
46818,506433
46819,110220
46820,718297
46821,285659
46822,496483
46823,938727
46824,584105
46825,748543
46826,172622
46827,260081
46828,74621
46829,366236
46830,428320
46831,772574
46832,246335
46833,583628
46834,821722
46835,644684
46836,291674
46837,575326
46838,226106
46839,140879
46840,660642
46841,534719
46842,912911
46843,29726
46844,98810
46845,230141
46846,96204
46847,137947
46848,859965
46849,961236
46850,742207
46851,263827
46852,838255
46853,249616
46854,563018
46855,609354
46856,924962
46857,272899
46858,787818
46859,323739
46860,545586
46861,630933
46862,275074
46863,270538
46864,172963
46865,634324
46866,985817
46867,86972
46868,696169
46869,397465
46870,130822
46871,758407
46872,687588
46873,606504
46874,87336
46875,188795
46876,131758
46877,141423
46878,307744
46879,199812
46880,541686
46881,30358
46882,979621
46883,846659
46884,184919
46885,502969
46886,271524
46887,219231
46888,397199
46889,607076
46890,596592
46891,409094
46892,797080
46893,963661
46894,744700
46895,330897
46896,657477
46897,652194
46898,605528
46899,29726
46900,949006
46901,32104
46902,255830
46903,285621
46904,298944
46905,207457
46906,330573
46907,463423
46908,749488
46909,300525
46910,264479
46911,436776
46912,191349
46913,236517
46914,521011
46915,101283
46916,156525
46917,45406
46918,659875
46919,359968
46920,443109
46921,217766
46922,991964
46923,263447
46924,751986
46925,854337
46926,5744
46927,564026
46928,439283
46929,623580
46930,328994
46931,388593
46932,450002
46933,672093
46934,745787
46935,773215
46936,888254
46937,191213
46938,481152
46939,78650
46940,358835
46941,812386
46942,624507
46943,223817
46944,263059
46945,949796
46946,314590
46947,114867
46948,493136
46949,483698
46950,756477
46951,193634
46952,878913
46953,620124
46954,369941
46955,922398
46956,879633
46957,366428
46958,716336
46959,488802
46960,847764
46961,552171
46962,530419
46963,289590
46964,331916
46965,6545
46966,775928
46967,430190
46968,59752
46969,677473
46970,280026
46971,493082
46972,428079
46973,334250
46974,29801
46975,653468
46976,509877
46977,907706
46978,541866
46979,432645
46980,287554
46981,644369
46982,344847
46983,724332
46984,415531
46985,370775
46986,900628
46987,635138
46988,120578
46989,716634
46990,244148
46991,614223
46992,54327
46993,373967
46994,470330
46995,157950
46996,331926
46997,287619
46998,84312
46999,36472
47000,454662
47001,611148
47002,998630
47003,557748
47004,408539
47005,898276
47006,89261
47007,827026
47008,205844
47009,706680
47010,116918
47011,832682
47012,416834
47013,157941
47014,163897
47015,462533
47016,237257
47017,131569
47018,688481
47019,344041
47020,737528
47021,956099
47022,578466
47023,41150
47024,350183
47025,170157
47026,714778
47027,697481
47028,236921
47029,566007
47030,518358
47031,748285
47032,62478
47033,583298
47034,268939
47035,632352
47036,472070
47037,536681
47038,863286
47039,589136
47040,623015
47041,999616
47042,992728
47043,55407
47044,362396
47045,878659
47046,843481
47047,505224
47048,407137
47049,109063
47050,764526
47051,699156
47052,733025
47053,250213
47054,778204
47055,937701
47056,752151
47057,263696
47058,719947
47059,30657
47060,944315
47061,948757
47062,53305
47063,58447
47064,140550
47065,321356
47066,850729
47067,44997
47068,993605
47069,659378
47070,991050
47071,388007
47072,109428
47073,820382
47074,363449
47075,351942
47076,697864
47077,484750
47078,880236
47079,656807
47080,649203
47081,943137
47082,977469
47083,212611
47084,921737
47085,541046
47086,677439
47087,595558
47088,609995
47089,984860
47090,762501
47091,219595
47092,285017
47093,983055
47094,634695
47095,550081
47096,23581
47097,793294
47098,727724
47099,591115
47100,710404
47101,483289
47102,690605
47103,820604
47104,461635
47105,961756
47106,238461
47107,91138
47108,435127
47109,964043
47110,64332
47111,20094
47112,706582
47113,34856
47114,859943
47115,207321
47116,626518
47117,181775
47118,149942
47119,706901
47120,408412
47121,643192
47122,863078
47123,299555
47124,591833
47125,581661
47126,971526
47127,21977
47128,242989
47129,853420
47130,721767
47131,736365
47132,802313
47133,532183
47134,843545
47135,270824
47136,71562
47137,137139
47138,431801
47139,435927
47140,27100
47141,929569
47142,535392
47143,954339
47144,841762
47145,15318
47146,882232
47147,618955
47148,96853
47149,346237
47150,41260
47151,340643
47152,773725
47153,676904
47154,684673
47155,333096
47156,362244
47157,44132
47158,261963
47159,627116
47160,694818
47161,563784
47162,57209
47163,499282
47164,433065
47165,75712
47166,86574
47167,923724
47168,546169
47169,566612
47170,569780
47171,930204
47172,445920
47173,50742
47174,621660
47175,577615
47176,952228
47177,733440
47178,697472
47179,6671
47180,302161
47181,896923
47182,659544
47183,838989
47184,283056
47185,411502
47186,355124
47187,685206
47188,307699
47189,637223
47190,379723
47191,455994
47192,295594
47193,838859
47194,657557
47195,596512
47196,706914
47197,279873
47198,269850
47199,67092
47200,623774
47201,77066
47202,119360
47203,648397
47204,195001
47205,623748
47206,413109
47207,854146
47208,412663
47209,78646
47210,360
47211,347039
47212,530092
47213,905985
47214,68726
47215,29055
47216,999853
47217,9656
47218,227825
47219,643314
47220,305671
47221,879863
47222,618573
47223,146354
47224,13181
47225,864828
47226,896174
47227,129593
47228,668037
47229,23343
47230,624546
47231,447097
47232,584042
47233,264333
47234,281023
47235,350304
47236,735394
47237,881311
47238,406952
47239,230605
47240,277882
47241,573657
47242,850077
47243,52710
47244,525476
47245,886891
47246,245882
47247,29385
47248,762913
47249,728876
47250,946316
47251,5755
47252,58432
47253,947870
47254,244829
47255,303600
47256,948197
47257,615640
47258,789215
47259,22319
47260,856496
47261,725230
47262,397286
47263,772200
47264,476415
47265,22411
47266,373410
47267,189124
47268,945796
47269,286680
47270,628218
47271,33855
47272,480327
47273,427333
47274,223991
47275,33752
47276,182754
47277,861174
47278,171784
47279,648859
47280,981204
47281,546058
47282,338731
47283,813223
47284,685472
47285,761888
47286,479002
47287,510767
47288,176853
47289,876339
47290,996056
47291,362872
47292,199879
47293,744209
47294,73406
47295,943801
47296,742563
47297,769629
47298,570763
47299,464881
47300,379730
47301,64870
47302,854813
47303,604683
47304,193689
47305,300533
47306,849396
47307,699997
47308,547511
47309,70412
47310,116303
47311,251624
47312,672890
47313,903821
47314,583790
47315,890094
47316,917598
47317,37719
47318,596641
47319,759406
47320,588602
47321,863275
47322,493305
47323,621407
47324,358668
47325,951989
47326,771770
47327,945555
47328,265865
47329,986436
47330,75433
47331,187014
47332,875734
47333,101649
47334,945528
47335,620455
47336,555536
47337,742978
47338,641892
47339,68171
47340,834486
47341,558721
47342,348821
47343,471147
47344,931700
47345,695504
47346,711604
47347,762356
47348,749656
47349,818493
47350,775577
47351,482486
47352,806614
47353,976296
47354,246318
47355,756037
47356,191097
47357,43584
47358,25920
47359,551322
47360,538119
47361,163945
47362,776898
47363,514434
47364,292275
47365,475557
47366,744035
47367,96973
47368,375414
47369,656764
47370,216944
47371,37974
47372,637839
47373,115620
47374,715912
47375,716543
47376,479005
47377,408001
47378,36241
47379,900606
47380,655730
47381,630087
47382,777826
47383,248909
47384,832712
47385,134504
47386,732288
47387,640822
47388,750461
47389,664779
47390,804744
47391,266969
47392,450264
47393,656636
47394,883915
47395,974414
47396,850948
47397,716738
47398,402551
47399,965305
47400,610119
47401,906606
47402,155232
47403,393129
47404,108944
47405,74035
47406,175341
47407,643813
47408,876551
47409,934895
47410,561722
47411,857725
47412,772383
47413,777764
47414,748105
47415,450457
47416,668732
47417,398141
47418,842238
47419,305080
47420,311043
47421,472043
47422,192537
47423,546319
47424,197643
47425,753216
47426,362545
47427,723098
47428,115131
47429,153521
47430,480356
47431,767081
47432,190176
47433,973959
47434,869425
47435,266871
47436,252349
47437,629267
47438,911950
47439,206696
47440,798574
47441,825816
47442,127944
47443,732289
47444,208816
47445,512327
47446,947298
47447,931522
47448,728847
47449,845926
47450,232498
47451,175304
47452,549774
47453,14976
47454,712698
47455,252965
47456,523707
47457,571870
47458,396503
47459,678034
47460,572383
47461,890084
47462,638193
47463,813991
47464,811440
47465,879377
47466,432068
47467,120879
47468,818487
47469,398110
47470,203985
47471,276272
47472,966692
47473,985825
47474,146045
47475,277025
47476,500373
47477,522659
47478,460467
47479,912151
47480,469532
47481,901194
47482,231771
47483,264572
47484,382799
47485,572849
47486,816867
47487,109976
47488,733664
47489,825861
47490,541126
47491,867650
47492,560100
47493,803042
47494,77439
47495,235677
47496,611231
47497,289834
47498,173846
47499,654659
47500,91986
47501,163320
47502,433174
47503,209694
47504,226686
47505,962767
47506,848568
47507,47198
47508,981115
47509,443523
47510,621476
47511,780480
47512,260938
47513,145833
47514,396086
47515,351704
47516,422900
47517,719425
47518,84692
47519,445324
47520,95844
47521,214749
47522,165299
47523,624835
47524,466470
47525,524281
47526,444801
47527,611392
47528,84414
47529,595031
47530,905048
47531,525763
47532,612689
47533,19406
47534,800955
47535,797962
47536,290734
47537,370578
47538,420960
47539,325500
47540,296546
47541,31279
47542,588497
47543,83477
47544,711593
47545,109209
47546,44405
47547,12103
47548,136508
47549,617919
47550,459947
47551,156791
47552,138778
47553,672277
47554,309959
47555,206653
47556,810401
47557,548326
47558,615532
47559,633661
47560,966650
47561,161196
47562,497104
47563,459315
47564,184842
47565,112755
47566,480833
47567,673917
47568,577090
47569,774455
47570,401425
47571,533998
47572,34326
47573,8624
47574,160964
47575,760336
47576,725208
47577,598890
47578,417611
47579,932348
47580,945811
47581,639642
47582,644931
47583,219345
47584,6941
47585,44200
47586,722210
47587,8092
47588,365748
47589,276411
47590,902217
47591,843224
47592,897151
47593,934670
47594,339345
47595,807799
47596,477248
47597,926206
47598,53644
47599,380955
47600,605102
47601,94113
47602,205880
47603,609363
47604,937032
47605,359938
47606,876475
47607,467586
47608,333769
47609,487971
47610,3353
47611,182334
47612,537206
47613,895287
47614,575629
47615,576921
47616,578195
47617,162348
47618,968722
47619,104008
47620,703585
47621,972289
47622,853369
47623,766097
47624,678366
47625,575759
47626,296161
47627,457830
47628,756154
47629,739109
47630,232227
47631,518202
47632,908555
47633,711859
47634,239970
47635,610513
47636,780355
47637,465491
47638,326139
47639,561785
47640,850472
47641,311628
47642,260511
47643,131249
47644,782940
47645,577236
47646,570727
47647,959290
47648,552751
47649,274236
47650,92132
47651,370174
47652,996909
47653,549912
47654,41707
47655,224442
47656,620778
47657,494190
47658,647279
47659,368630
47660,584249
47661,699166
47662,983280
47663,355549
47664,647025
47665,691502
47666,961057
47667,36397
47668,759984
47669,76653
47670,572832
47671,235296
47672,418125
47673,329829
47674,505803
47675,45659
47676,117003
47677,661675
47678,157043
47679,452267
47680,262534
47681,482483
47682,815176
47683,683100
47684,439235
47685,467500
47686,63908
47687,857450
47688,439603
47689,315825
47690,996174
47691,163461
47692,223861
47693,639566
47694,532439
47695,59742
47696,322874
47697,937446
47698,452438
47699,630100
47700,361153
47701,949742
47702,620798
47703,973737
47704,809049
47705,332153
47706,641476
47707,775191
47708,325749
47709,558143
47710,711493
47711,697036
47712,647249
47713,294053
47714,550885
47715,738627
47716,407867
47717,293040
47718,96672
47719,287437
47720,988572
47721,761864
47722,782709
47723,663149
47724,429395
47725,876726
47726,862040
47727,967170
47728,881166
47729,207715
47730,373939
47731,726271
47732,891068
47733,507404
47734,866347
47735,269961
47736,63871
47737,721823
47738,596404
47739,765496
47740,64705
47741,532969
47742,781960
47743,268574
47744,654239
47745,281629
47746,384248
47747,59165
47748,548407
47749,823720
47750,988532
47751,158712
47752,375062
47753,609312
47754,220089
47755,13717
47756,651662
47757,204064
47758,156213
47759,25790
47760,655836
47761,314686
47762,596496
47763,630047
47764,285758
47765,262215
47766,850443
47767,410516
47768,119127
47769,80773
47770,783846
47771,698325
47772,165991
47773,740324
47774,704269
47775,870319
47776,941634
47777,452098
47778,124653
47779,7204
47780,790669
47781,831786
47782,680558
47783,172447
47784,903532
47785,232359
47786,293969
47787,197500
47788,91150
47789,994962
47790,931520
47791,710362
47792,310156
47793,22385
47794,70953
47795,293632
47796,426332
47797,959711
47798,35422
47799,264976
47800,962935
47801,313587
47802,312450
47803,573170
47804,808320
47805,938397
47806,695302
47807,85320
47808,979252
47809,266768
47810,693864
47811,127441
47812,942431
47813,363959
47814,337755
47815,313589
47816,83918
47817,425921
47818,134619
47819,917648
47820,142622
47821,199114
47822,181576
47823,27056
47824,665352
47825,664551
47826,57533
47827,976763
47828,343980
47829,188755
47830,936273
47831,755538
47832,209749
47833,39743
47834,852277
47835,894051
47836,720891
47837,81126
47838,412946
47839,695871
47840,214233
47841,268992
47842,191861
47843,877467
47844,75355
47845,693717
47846,857436
47847,569697
47848,158864
47849,707182
47850,592609
47851,598213
47852,727593
47853,854926
47854,78856
47855,223915
47856,610049
47857,960853
47858,184713
47859,34594
47860,976087
47861,546089
47862,333969
47863,408054
47864,63057
47865,459167
47866,626483
47867,637840
47868,45934
47869,21116
47870,21321
47871,88790
47872,561282
47873,967598
47874,414290
47875,730299
47876,143984
47877,23868
47878,617713
47879,286328
47880,556437
47881,697136
47882,515727
47883,145406
47884,479596
47885,819227
47886,253881
47887,384876
47888,132544
47889,151463
47890,884012
47891,591229
47892,332634
47893,975529
47894,106961
47895,536321
47896,89300
47897,214058
47898,767931
47899,85649
47900,315729
47901,913907
47902,149867
47903,543629
47904,914445
47905,989163
47906,62639
47907,132576
47908,536375
47909,787471
47910,454908
47911,707410
47912,424075
47913,482519
47914,586436
47915,169897
47916,890271
47917,208958
47918,926292
47919,199616
47920,561583
47921,65662
47922,586799
47923,802712
47924,860396
47925,620909
47926,71285
47927,408842
47928,516235
47929,418909
47930,958852
47931,815548
47932,900823
47933,607198
47934,551195
47935,41265
47936,514627
47937,913686
47938,360561
47939,21231
47940,608889
47941,180732
47942,574869
47943,729557
47944,308877
47945,483844
47946,862515
47947,976288
47948,443577
47949,929938
47950,374981
47951,521539
47952,618302
47953,564351
47954,949805
47955,534439
47956,513877
47957,988385
47958,732816
47959,440115
47960,201329
47961,582917
47962,184467
47963,261462
47964,31459
47965,852137
47966,769950
47967,684457
47968,974133
47969,716937
47970,829956
47971,714077
47972,898443
47973,992124
47974,804439
47975,24722
47976,938975
47977,334616
47978,680653
47979,764725
47980,28782
47981,252320
47982,827974
47983,956381
47984,595863
47985,750567
47986,818349
47987,778880
47988,816182
47989,190872
47990,95684
47991,718005
47992,641673
47993,342913
47994,865942
47995,204107
47996,15301
47997,940113
47998,171044
47999,827853
48000,79907
48001,185507
48002,820929
48003,205467
48004,693797
48005,402261
48006,454559
48007,200508
48008,372062
48009,573535
48010,406004
48011,112402
48012,833981
48013,682019
48014,206386
48015,96503
48016,174595
48017,78352
48018,21574
48019,563422
48020,388207
48021,291208
48022,796503
48023,162294
48024,439393
48025,534400
48026,919171
48027,63458
48028,2042
48029,778922
48030,924483
48031,129560
48032,871901
48033,506602
48034,43673
48035,572568
48036,349990
48037,442276
48038,229832
48039,999457
48040,852862
48041,989741
48042,444079
48043,417682
48044,380013
48045,423013
48046,342923
48047,69381
48048,721441
48049,635279
48050,366617
48051,240884
48052,160240
48053,246116
48054,352345
48055,339497
48056,288894
48057,262623
48058,64416
48059,75240
48060,571906
48061,412607
48062,416428
48063,992850
48064,607943
48065,695226
48066,504664
48067,179326
48068,908427
48069,78165
48070,619804
48071,862156
48072,706104
48073,924952
48074,396045
48075,377904
48076,721778
48077,992980
48078,186957
48079,639965
48080,285444
48081,241440
48082,855004
48083,633503
48084,745979
48085,796426
48086,988140
48087,563966
48088,831241
48089,993772
48090,290599
48091,185948
48092,938261
48093,563160
48094,176951
48095,586234
48096,864203
48097,950137
48098,952411
48099,504377
48100,262951
48101,974347
48102,15807
48103,5639
48104,423367
48105,498498
48106,724250
48107,758736
48108,322358
48109,621400
48110,93009
48111,729041
48112,407503
48113,946235
48114,563804
48115,25065
48116,551588
48117,462434
48118,213189
48119,213037
48120,666526
48121,864047
48122,936275
48123,127330
48124,829300
48125,499303
48126,691124
48127,30311
48128,453617
48129,115792
48130,457464
48131,888733
48132,912380
48133,288927
48134,119628
48135,151602
48136,523759
48137,830822
48138,647928
48139,489408
48140,566222
48141,876538
48142,508773
48143,197244
48144,768676
48145,988642
48146,623747
48147,408769
48148,434179
48149,780504
48150,424685
48151,33456
48152,468671
48153,60570
48154,547457
48155,452435
48156,643297
48157,538532
48158,799812
48159,294066
48160,187494
48161,591292
48162,451614
48163,342531
48164,890290
48165,681063
48166,537690
48167,629130
48168,218149
48169,224887
48170,629664
48171,278388
48172,499697
48173,37855
48174,832703
48175,612848
48176,759907
48177,63058
48178,400802
48179,963551
48180,810020
48181,527749
48182,648171
48183,723457
48184,977168
48185,161648
48186,564020
48187,622192
48188,622807
48189,520239
48190,494594
48191,557941
48192,966583
48193,700127
48194,175749
48195,31579
48196,58363
48197,838075
48198,750784
48199,413090
48200,59742
48201,342747
48202,325861
48203,846901
48204,803353
48205,884257
48206,266498
48207,992887
48208,213496
48209,386949
48210,13944
48211,313746
48212,484516
48213,125591
48214,529129
48215,348707
48216,58288
48217,170085
48218,408526
48219,127927
48220,554793
48221,104673
48222,651537
48223,566733
48224,509428
48225,877991
48226,158974
48227,365825
48228,778244
48229,521148
48230,448440
48231,410297
48232,609359
48233,243482
48234,833408
48235,149539
48236,713966
48237,203284
48238,502917
48239,975381
48240,248723
48241,370960
48242,243018
48243,402452
48244,920136
48245,52938
48246,582955
48247,153191
48248,572279
48249,898966
48250,433387
48251,667627
48252,867233
48253,570228
48254,179439
48255,476435
48256,286656
48257,5934
48258,946208
48259,51547
48260,511195
48261,688042
48262,390784
48263,305777
48264,313022
48265,614083
48266,934030
48267,722316
48268,82249
48269,260340
48270,560080
48271,142489
48272,290010
48273,861530
48274,802696
48275,484914
48276,717065
48277,45774
48278,916087
48279,62778
48280,216549
48281,301126
48282,907218
48283,767783
48284,825591
48285,522885
48286,796828
48287,342892
48288,864995
48289,317574
48290,251776
48291,789251
48292,727305
48293,619712
48294,990367
48295,148094
48296,559077
48297,814682
48298,975613
48299,751301
48300,257874
48301,868883
48302,322944
48303,126744
48304,982191
48305,885192
48306,452424
48307,261833
48308,805432
48309,976151
48310,844634
48311,255197
48312,515926
48313,405467
48314,481375
48315,996042
48316,400058
48317,735690
48318,458036
48319,971253
48320,77512
48321,364969
48322,816844
48323,580710
48324,696888
48325,645504
48326,452910
48327,587747
48328,307797
48329,682383
48330,833604
48331,860611
48332,26781
48333,297237
48334,197196
48335,392085
48336,107920
48337,80325
48338,585362
48339,657634
48340,453096
48341,301479
48342,220585
48343,151118
48344,946105
48345,832751
48346,60777
48347,232580
48348,796117
48349,752852
48350,424472
48351,339333
48352,436388
48353,699701
48354,677148
48355,100272
48356,315007
48357,926890
48358,829152
48359,772525
48360,710103
48361,853211
48362,648937
48363,628984
48364,161297
48365,885713
48366,281266
48367,960269
48368,718824
48369,162036
48370,87104
48371,312459
48372,236802
48373,850775
48374,727196
48375,177933
48376,449710
48377,474263
48378,10368
48379,163746
48380,314212
48381,609257
48382,912093
48383,335949
48384,420597
48385,68739
48386,382070
48387,894823
